Frederik Soerensen,1. FC Köln,0.558835
Fynn Arkenberg,Hannover 96,0.4782
Gaetan Bussmann,1. FSV Mainz 05,0.5408272727272725
Gelson Fernandes,SC Freiburg,0.7204611111111108
Genki Haraguchi,Hertha BSC Berlin,0.6545571428571426
Georg Niedermaier,VfB Stuttgart,0.6666363636363639
Gian-Luca Waldschmidt,Eintracht Frankfurt,0.3745357142857147
Gianluca Gaudino,FC Bayern Munich,0.36095
Gideon Jung,Hamburger SV,0.3003307692307691
Giulio Donati,1. FSV Mainz 05,0.6964454545454546
Gojko Kacar,Hamburger SV,0.5729900000000001
Gonzalo Castro,Borussia Dortmund,0.8391571428571429
Gonzalo Jara,1. FSV Mainz 05,0.46237812500000003
Gotoku Sakai,Hamburger SV,0.5977863636363633
Granit Xhaka,Borussia Mönchengladbach,0.6972700000000001
Gyorgy Garics,SV Darmstadt 98,0.47157499999999997
Haavard Nielsen,Eintracht Braunschweig,0.47548124999999997
Haavard Nordtveit,Borussia Mönchengladbach,0.7413722222222219
Hajime Hosogai,Hertha BSC Berlin,0.5197249999999997
Hakan Calhanoglu,Bayer 04 Leverkusen,0.7238522727272726
Halil Altintop,FC Augsburg,0.78866
Hanno Balitsch,1. FC Nürnberg,0.5070416666666666
Hany Mukhtar,Hertha BSC Berlin,0.46986363636363654
Haris Seferovic,Eintracht Frankfurt,0.8093944444444441
Heiko Westermann,Hamburger SV,0.8137363636363637
Henrik Mkhitaryan,Borussia Dortmund,0.7122870967741932
Heung-Min Son,Bayer 04 Leverkusen,0.780734615384615
Hiroki Sakai,Hannover 96,0.57347
Hiroshi Kiyotake,Hannover 96,0.778681818181818
Holger Badstuber,FC Bayern Munich,0.8406125
Hotaru Yamaguchi,Hannover 96,0.5701
Hugo Almeida,Hannover 96,0.8140714285714289
Ibrahima Traore,Borussia Mönchengladbach,0.8297666666666667
Idir Ouali,SC Paderborn 07,0.49585
Ilkay Guendogan,Borussia Dortmund,0.8009260869565221
Immanuel Hoehn,SC Freiburg,0.5065500000000001
Ivan Perisic,VfL Wolfsburg,0.7573766666666667
Iver Fossum,Hannover 96,0.44960333333333335
Ivica Olic,Hamburger SV,0.7274653846153841
Ivo Ilicevic,Hamburger SV,0.7606875
Izet Hajrovic,SV Werder Bremen,0.6926552631578945
Ja-Cheol Koo,FC Augsburg,0.7740434782608692
Jacques Zoua Daogari,Hamburger SV,0.41027083333333325
Jairo,1. FSV Mainz 05,0.5188937499999999
Jakub Blaszczykowski,Borussia Dortmund,0.7108538461538461
Jan Hochscheidt,Eintracht Braunschweig,0.5248944444444441
Jan Kirchhoff,FC Schalke 04,0.717775
Jan Moravek,FC Augsburg,0.5705
Jan Polak,VfL Wolfsburg,0.46780714285714264
Jan Rosenthal,SV Darmstadt 98,0.5603714285714287
Jan Schlaudraff,Hannover 96,0.6821625
Jan-Ingwer Callsen-Bracker,FC Augsburg,0.71726
Janek Sternberg,SV Werder Bremen,0.3364676470588239
Jannik Vestergaard,SV Werder Bremen,0.6912576923076926
Jaroslav Drobny,Hamburger SV,0.8188562500000001
Javier Hernandez,Bayer 04 Leverkusen,0.83851875
Javier Martinez,FC Bayern Munich,0.8549863636363637
Javier Pinola,1. FC Nürnberg,0.5475291666666666
Jefferson Farfan,FC Schalke 04,0.8380166666666663
Jeffrey Gouweleeuw,FC Augsburg,0.7686
Jens Grahl,TSG 1899 Hoffenheim,0.5023111111111112
Jens Hegeler,Hertha BSC Berlin,0.7209681818181817
Jens Wemmer,SC Paderborn 07,0.5100375
Jeong-Ho Hong,FC Augsburg,0.64442
Jeremy Toljan,TSG 1899 Hoffenheim,0.40432272727272733
Jerome Boateng,FC Bayern Munich,0.8357285714285718
Jerome Gondorf,SV Darmstadt 98,0.35925294117647105
Jhon Cordoba,1. FSV Mainz 05,0.562315
Jiloan Hamad,TSG 1899 Hoffenheim,0.528780769230769
Jimmy Briand,Hannover 96,0.6744125000000001
Jin-Su Kim,TSG 1899 Hoffenheim,0.3724888888888892
Joao Pereira,Hannover 96,0.7341035714285716
Joel Gerezgiher,Eintracht Frankfurt,0.46712857142857184
Joel Matip,FC Schalke 04,0.7817692307692304
Johan Djourou,Hamburger SV,0.7817000000000001
Johannes Flum,Eintracht Frankfurt,0.7170875000000001
Johannes Geis,FC Schalke 04,0.633911111111111
Johannes van den Bergh,Hertha BSC Berlin,0.509773076923077
John Anthony Brooks,Hertha BSC Berlin,0.6506357142857138
Johnny Heitinga,Hertha BSC Berlin,0.7003499999999996
Jonas Hector,1. FC Köln,0.5752636363636364
Jonas Hofmann,Borussia Mönchengladbach,0.6555866666666667
Jonathan Glao Tah,Bayer 04 Leverkusen,0.4794764705882354
Jonathan Schmid,TSG 1899 Hoffenheim,0.8014281250000002
Joo-Ho Park,Borussia Dortmund,0.6630777777777774
Jose Campana,1. FC Nürnberg,0.5111178571428574
Joselu,Hannover 96,0.6971499999999999
Joshua Guilavogui,VfL Wolfsburg,0.7691558823529414
Joshua Kimmich,FC Bayern Munich,0.39156052631578975
Josip Drmic,Hamburger SV,0.8127285714285716
Juan Arango,Borussia Mönchengladbach,0.7054538461538458
Juan Bernat,FC Bayern Munich,0.6268766666666667
Julian Baumgartlinger,1. FSV Mainz 05,0.8233147058823533
Julian Brandt,Bayer 04 Leverkusen,0.43066944444444477
Julian Draxler,VfL Wolfsburg,0.7902399999999999
Julian Green,Hamburger SV,0.49763181818181845
Julian Koch,1. FSV Mainz 05,0.5166035714285712
Julian Korb,Borussia Mönchengladbach,0.5202833333333333
Julian Schieber,Hertha BSC Berlin,0.7650875000000001
Julian Schuster,SC Freiburg,0.6596823529411762
Julian Weigl,Borussia Dortmund,0.39165277777777774
Junior Caicara,FC Schalke 04,0.7867571428571429
Junior Diaz,SV Darmstadt 98,0.5008931818181821
Junior Malanda-Adje,VfL Wolfsburg,0.60289
Kaan Ayhan,Eintracht Frankfurt,0.3867694444444444
Kai Herdling,TSG 1899 Hoffenheim,0.5212863636363633
Karim Bellarabi,Bayer 04 Leverkusen,0.6431777777777777
Karim Guede,SC Freiburg,0.5418315789473683
Karim Onisiwo,1. FSV Mainz 05,0.5394
Kazuki Nagasawa,1. FC Köln,0.38632222222222184
Ken Reichel,Eintracht Braunschweig,0.5083222222222222
Kenan Karaman,Hannover 96,0.3122583333333333
Kevin Grosskreutz,VfB Stuttgart,0.8202705882352939
Kevin Kampl,Bayer 04 Leverkusen,0.7797479166666667
Kevin Kratz,Eintracht Braunschweig,0.45779285714285667
Kevin Kuranyi,TSG 1899 Hoffenheim,0.735095
Kevin Trapp,Eintracht Frankfurt,0.79219
Kevin Vogt,1. FC Köln,0.6415041666666668
Kevin Volland,TSG 1899 Hoffenheim,0.8369941176470591
Kevin Wimmer,1. FC Köln,0.512825
Kevin de Bruyne,VfL Wolfsburg,0.7648588235294115
Kevin-Prince Boateng,FC Schalke 04,0.6570437499999999
Kingsley Coman,FC Bayern Munich,0.428589285714286
Klaas Jan Huntelaar,FC Schalke 04,0.8488333333333333
Koen Casteels,VfL Wolfsburg,0.53711
Konstantin Engel,FC Ingolstadt 04,0.48075
Konstantin Rausch,SV Darmstadt 98,0.6599500000000004
Konstantinos Stafylidis,FC Augsburg,0.514365
Kyriakos Papadopoulos,Bayer 04 Leverkusen,0.8274041666666667
Lars Bender,Bayer 04 Leverkusen,0.8434200000000001
Lars Stindl,Borussia Mönchengladbach,0.8307555555555556
Lasse Sobiech,Hamburger SV,0.4671
Laszlo Kleinheisler,SV Werder Bremen,0.51355
Leon Andreasen,Hannover 96,0.7940772727272731
Leon Balogun,1. FSV Mainz 05,0.38288
Leon Goretzka,FC Schalke 04,0.6338025
Leon Guwara,SV Werder Bremen,0.484
Leonardo Bittencourt,1. FC Köln,0.7425846153846156
Leroy Sane,FC Schalke 04,0.46237413793103443
Levan Kobiashvili,Hertha BSC Berlin,0.53905
Levent Aycicek,SV Werder Bremen,0.4011391304347821
Levin Mete Oztunali,SV Werder Bremen,0.4543477272727272
Lewis Holtby,Hamburger SV,0.82513
Loris Karius,1. FSV Mainz 05,0.49763478260869554
Luc Castaignos,Eintracht Frankfurt,0.76599
Luca Caldirola,SV Darmstadt 98,0.7245382352941181
Luca-Milan Zander,SV Werder Bremen,0.46431666666666666
Lucas Hradecky,Eintracht Frankfurt,0.49860625
Lucas Piazon,Eintracht Frankfurt,0.6697657894736845
Ludovic Obraniak,SV Werder Bremen,0.7903214285714286
Luiz Gustavo,VfL Wolfsburg,0.8478583333333334
Lukas Froede,SV Werder Bremen,0.4713833333333333
Lukas Hinterseer,FC Ingolstadt 04,0.4081076923076926
Lukas Kruse,SC Paderborn 07,0.5192888888888891
Lukas Raeder,FC Bayern Munich,0.37480624999999995
Lukas Rupp,VfB Stuttgart,0.47285714285714286
Lukasz Piszczek,Borussia Dortmund,0.751775
Lukasz Zaluska,SV Darmstadt 98,0.5400333333333334
Mahir Saglik,SC Paderborn 07,0.5464499999999998
Mahmoud Dahoud,Borussia Mönchengladbach,0.35222857142857145
Makoto Hasebe,Eintracht Frankfurt,0.7676000000000003
Mame Biram Diouf,Hannover 96,0.7392076923076927
Manuel Friedrich,Borussia Dortmund,0.74885
Manuel Neuer,FC Bayern Munich,0.9042083333333334
Manuel Schmiedebach,Hannover 96,0.8158416666666667
Marc Pfitzner,Eintracht Braunschweig,0.5366625
Marc Stendera,Eintracht Frankfurt,0.5192
Marc Torrejon Moya,SC Freiburg,0.6503000000000001
Marc Vucinovic,SC Paderborn 07,0.43893888888888855
Marc-Andre ter Stegen,Borussia Mönchengladbach,0.84394
Marc-Oliver Kempf,SC Freiburg,0.40347500000000003
Marcel Correia,Eintracht Braunschweig,0.5743625
Marcel De Jong,FC Augsburg,0.5050214285714283
Marcel Heller,SV Darmstadt 98,0.44550588235294164
Marcel Ndjeng,Hertha BSC Berlin,0.46318124999999993
Marcel Risse,1. FC Köln,0.779266666666667
Marcel Schaefer,VfL Wolfsburg,0.815375
Marcel Schmelzer,Borussia Dortmund,0.7860999999999997
Marcell Jansen,Hamburger SV,0.81515625
Marcelo,Hannover 96,0.6966136363636363
Marcelo Diaz,Hamburger SV,0.5701973684210531
Marco Fabian,Eintracht Frankfurt,0.6403975
Marco Hoeger,FC Schalke 04,0.8258066666666667
Marco Reus,Borussia Dortmund,0.8912904761904767
